label,timestamp,latitute,longitude,altitute,accuracy,provider
No activity,1421941858606,NA,NA,NA,NA,NA
Walk,1421941866612,46.7800891,6.6597981,0.0,14.142,fused
Walk,1421942173759,46.7800891,6.6597981,0.0,14.142,fused
Coffee,1421942325747,46.7800891,6.6597981,0.0,14.142,fused
Coffee,1421942473340,46.7800891,6.6597981,0.0,14.142,fused
Coffee,1421942774968,46.7800891,6.6597981,0.0,14.142,fused
Coffee,1421943383508,46.7800891,6.6597981,0.0,14.142,fused
Coffee,1421943688150,46.7800891,6.6597981,0.0,14.142,fused
Coffee,1421944295692,46.7800891,6.6597981,0.0,14.142,fused
Work,1421944601709,46.7800891,6.6597981,0.0,14.142,fused
Work,1421944903644,46.7800891,6.6597981,0.0,14.142,fused
Work,1421945207009,46.7800891,6.6597981,0.0,14.142,fused
